timestamp,power_usage_mW
1733660196769,262628
1733660228065,198062
1733660259410,276900
1733660290562,345685
1733660321714,140031
1733660352874,343590
1733660384108,271632
1733660415254,133153
1733660446410,135592
1733660477616,156735
1733660508744,154551
1733660539888,143898
1733660571103,346442
1733660602308,342897
1733660633542,250516
1733660664749,185634
1733660695931,134093
1733660727146,142469
1733660758309,133770
1733660789451,343523
1733660820630,133837
1733660851877,231238
1733660883084,162737
1733660913285,158085
1733660944578,154829
1733660974661,155567
1733661005972,153429
1733661037342,152868
1733661068709,181173
1733661100085,158434
1733661130109,171754
1733661161527,156296
1733661192819,196108
1733661223993,155759
1733661254017,181776
1733661284045,249991
1733661315424,213617
1733661346630,158281
1733661377934,158628
1733661409290,155996
1733661440620,154787
1733661471786,156509
1733661503010,177187
1733661534389,238162
1733661564529,199435
1733661595782,199797
1733661627134,209137
1733661658516,215892
1733661689821,201038
1733661721090,264118
1733661752463,156664
1733661783727,180190
1733661815063,154965
1733661846410,203367
1733661877690,152864
1733661908935,195356
1733661940180,155057
1733661971470,131887
1733662002651,154534
1733662033783,342279
1733662064959,154118
1733662096094,342473
1733662127252,342977
1733662158407,132510
1733662189569,342433
1733662220756,154903
1733662251888,331159
1733662283184,275602
1733662314359,344588
1733662345506,341250
1733662376715,241020
1733662407857,313670
1733662438999,154830
1733662470216,343918
1733662501419,344545
1733662532611,301994
1733662563920,155174
1733662595272,228633
1733662626484,256881
1733662657417,154301
1733662688274,163042
1733662719511,216086
1733662750826,153301
1733662782172,249557
1733662813471,151902
1733662844743,187356
1733662876032,161730
1733662906121,149497
1733662937492,153845
1733662968851,158300
1733663000217,224533
1733663031406,131301
1733663062600,172287
1733663093955,177098
1733663125261,158249
1733663156609,179716
1733663187948,185382
1733663219203,197866
1733663250590,225268
1733663281950,143940
1733663313183,156655
1733663344458,253881
1733663375721,149304
1733663407051,178642
1733663438284,239440
1733663469560,155245
1733663500838,152611
1733663532033,159373
1733663563307,154153
1733663594683,131850
1733663625969,159750
1733663657254,239041
1733663688495,245930
1733663719753,214669
1733663751061,250175
1733663782335,167108
1733663813530,344781
1733663844655,155048
1733663875826,341719
1733663906955,344558
1733663938180,133235
1733663969409,151416
1733664000588,342467
1733664031871,145519
1733664063061,172578
1733664094332,137479
1733664125454,343588
1733664156628,155847
1733664187801,342183
1733664219004,344470
1733664250222,155960
1733664281460,158393
1733664312635,343740
1733664343755,343262
1733664374938,133148
1733664406060,324884
1733664437706,153886
1733664468935,218307
1733664500246,227474
1733664531605,192438
1733664562822,256318
1733664594168,201406
1733664625481,154359
1733664656718,201540
1733664688040,152425
1733664719288,152321
1733664750614,154058
1733664781872,153884
1733664813207,241648
1733664844516,200081
1733664875810,172785
1733664907011,244436
1733664938304,190442
1733664969521,158775
1733665000735,258873
1733665032030,149081
1733665063398,154360
1733665094787,149544
1733665126056,155237
1733665157476,208577
1733665188808,260599
1733665220116,162496
1733665251349,218867
1733665282638,155608
1733665314041,156850
1733665345355,181313
1733665376726,257007
1733665407948,154370
1733665439285,165322
1733665470592,215025
1733665501890,260410
1733665533058,248712
1733665564337,204746
1733665595573,133415
1733665626844,156509
1733665658040,343204
1733665689207,238709
1733665720426,343589
1733665751548,344542
1733665782670,157739
1733665813793,133375
1733665844921,153696
1733665876115,310193
1733665907307,155955
1733665938492,155511
1733665969687,344424
1733666000853,343574
1733666032061,345459
1733666063277,344877
1733666094431,158534
1733666125572,345542
1733666156739,227122
1733666187743,195315
1733666218879,219109
1733666250024,154115
1733666281240,239199
1733666312399,245198
1733666343618,154315
1733666374929,142279
1733666406082,204559
1733666437344,265573
1733666468532,228485
1733666499749,229981
1733666530989,139489
1733666562329,155884
1733666593626,147903
1733666624926,183341
1733666656178,211043
1733666687349,137417
1733666718552,151375
1733666749797,153715
1733666781038,159501
1733666812321,184707
1733666843519,216590
1733666874793,157894
1733666906028,155493
1733666937195,234834
1733666968345,230808
1733666999593,203195
1733667030775,154984
1733667062028,169883
1733667093280,155635
1733667124462,256303
1733667155663,266732
1733667187050,154932
1733667218224,175472
1733667249500,154620
1733667280652,342983
1733667311886,155689
1733667343006,342277
1733667374244,146436
1733667405378,156620
1733667436605,177669
1733667467785,342174
1733667499059,155742
1733667530183,344730
1733667561316,157728
1733667592494,344338
1733667623660,156706
1733667654909,344442
1733667686060,333265
1733667717327,198463
1733667748478,137442
1733667779671,343252
1733667810804,133834
1733667841940,156954
1733667873498,209955
1733667904899,207459
1733667936130,216818
1733667967502,152031
1733667998937,213567
1733668030190,154219
1733668061485,151902
1733668092707,176468
1733668124029,148529
1733668155330,192595
1733668186620,156830
1733668217969,229180
1733668249268,152966
1733668280465,246373
1733668311755,155482
1733668343083,153957
1733668374323,228612
1733668405643,155481
1733668436964,191940
1733668468279,213652
1733668499536,156346
1733668530786,216115
1733668562019,142514
1733668593206,152428
1733668624507,155916
1733668655962,165683
1733668687285,154676
1733668718505,209314
1733668749928,155844
1733668781286,250943
1733668812502,179445
1733668843761,214702
1733668875172,155512
1733668906594,239671
1733668937726,156434
1733668968986,201488
1733669000217,217973
1733669031385,342549
1733669062531,170222
1733669093730,157031
1733669124853,156651
1733669156141,135531
1733669187511,139318
1733669218717,342153
1733669249935,247843
1733669281253,254823
1733669312506,153351
1733669343773,142791
1733669374976,344584
1733669406139,344545
1733669437258,198720
1733669468468,177125
1733669499669,156855
1733669530826,287526
1733669561954,133403
1733669593136,133577
1733669624368,157111
1733669655344,259813
1733669686646,154451
1733669717892,177379
1733669749174,159256
1733669780376,154647
1733669811720,154049
1733669843130,152158
1733669874410,215946
1733669905621,158615
1733669937011,150405
1733669968319,269473
1733669999521,156456
1733670030786,141117
1733670062184,151928
1733670093504,206277
1733670124756,153627
1733670156042,157455
1733670187324,156901
1733670218568,156040
1733670249867,154555
1733670281248,151534
1733670312526,153075
1733670343716,256453
1733670375032,240292
1733670406337,155602
1733670437653,174644
1733670468874,153897
1733670500251,153227
1733670531558,155569
1733670562867,217602
1733670594095,155190
1733670625465,156430
1733670656678,143388
1733670687954,196355
1733670719263,154958
1733670750686,144929
1733670781967,154479
1733670813291,193832
1733670844450,343859
1733670875729,224535
1733670906970,133486
1733670938151,155512
1733670969460,147770
1733671000673,343313
1733671031934,342652
1733671063123,155928
1733671094255,158884
1733671125470,184298
1733671156620,154817
1733671187775,343673
1733671218899,134158
1733671250176,343333
1733671281312,342541
1733671312495,343465
1733671343682,343085
1733671374830,343157
1733671406030,343855
1733671436402,156520
1733671466806,188330
1733671498073,155689
1733671529344,220271
1733671560655,193134
1733671591994,158904
1733671623193,201234
1733671654386,156152
1733671685871,232744
1733671717129,207969
1733671748429,154468
1733671779732,259212
1733671811003,238700
1733671842281,177544
1733671873647,151150
1733671904798,234193
1733671936082,207388
1733671967358,225593
1733671998585,182508
1733672029851,207719
